COD_USU,SEX_USU,FEC_NAC_USU,EDAD_USU,GRU_ET,PAI_USU,TIE_DIS,LEN_MAT,AUT_IDE_ET,NOM_CEN,FEC_ING,PER_ING,TIP_SEG_SAL,EST_ACT,FEC_EGR,MOT_EGR
120100931,1,2021-11-22,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-13,1,1,1,NO APLICA,11
120100932,2,2022-02-10,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-13,1,1,1,NO APLICA,11
120100905,1,2020-12-31,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-04-16,1,1,1,NO APLICA,11
1201008069,1,2021-01-30,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-02-28,1,1,1,NO APLICA,11
1201008086,2,2021-01-01,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-03-18,1,1,1,NO APLICA,11
1201008090,1,2020-12-06,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-03-12,1,2,1,NO APLICA,11
120100397,2,2020-09-19,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2022-03-10,1,1,1,NO APLICA,11
120100792,1,2020-09-02,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-07-10,1,1,1,NO APLICA,11
1201008063,1,2021-02-06,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-02-26,1,1,1,NO APLICA,11
120100917,1,2021-05-06,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-05-27,1,1,1,NO APLICA,11
120100706,1,2020-10-08,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2022-08-22,1,2,1,NO APLICA,11
120100653,2,2020-05-23,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2022-01-25,1,1,1,NO APLICA,11
1201008092,1,2021-04-20,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-03-18,1,1,1,NO APLICA,11
1201008077,1,2020-07-24,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-03-05,1,1,1,NO APLICA,11
120100771,1,2020-07-03,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-04-03,1,1,1,NO APLICA,11
1201008036,1,2020-09-22,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-01-08,1,1,1,NO APLICA,11
120100676,2,2020-12-01,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2022-02-21,1,1,1,NO APLICA,11
1201008011,1,2020-08-30,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-09-18,1,1,1,NO APLICA,11
120100950,1,2020-05-05,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
120100635,2,2019-08-27,6,3,PERÚ,3,10,6,CEDIF AÑO NUEVO,2021-11-15,1,1,1,NO APLICA,11
120100799,1,2019-10-08,6,3,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-08-07,1,2,1,NO APLICA,11
120100574,1,2020-03-11,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2021-04-15,1,2,1,NO APLICA,11
120100719,2,2019-10-14,6,3,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-01-10,1,1,1,NO APLICA,11
120100718,1,2019-07-14,6,3,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-01-09,1,2,1,NO APLICA,11
120100700,1,2019-05-02,6,3,PERÚ,3,10,6,CEDIF AÑO NUEVO,2022-07-04,1,2,1,NO APLICA,11
120100698,1,2020-03-03,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2022-06-15,1,1,1,NO APLICA,11
1201008082,2,2020-03-23,5,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-03-07,1,1,1,NO APLICA,11
